true_text,pred_text
ในตัวของ q4 ก็ดีขึ้นนะครับ,ตรง ทิว สี่ กระดี่ ขึ้น นะ ครับ รับ ความ
แล้วก็ลองได้ภาพเพิ่มเติมว่าเป็นนักลงทุนที่สนใจ,ก็ลองไปให้ภาพเพิ่มเติมว่าแก่น้ำทุนที่สนใจ
เพราะเป็นบริษัทลูกที่เรามีแผนจะเข้า,เป็น บรรทัด ลูก ที่ เรา มี แผน จะ เข้า ไป
ipo ในปีนี้นะครับ,ปีนี้มาสอบ
ซึ่งระบบ,อืม เออ วันนี้
ANI ได้รับการ approve filing,ใคร ได้รับ กัน ทั้ง ผู้ ฝ่าย วิ่ง จาก
จากทางด้านทางตลาด,ทั้งบ้านทั้งตลาด
ก ล ต ตั้งแต่เดือนเก้าแล้วนะครับ,ตั้งแต่ หนึ่ง เก้า แล้ว นะ ครับ หล่อ
เราก็มีแผนที่จะเข้าภายในไตรมาสที่สี่นะครับ,พอมีแผนที่จะเข้าพาณิชย์ไปมาที่สี่นะครับ
ก็ยืนยันนะครับว่าภายในปีนี้แน่นอนนะครับ,ยืนยัน นะครับว่าใครได้ตีนี้แน่นอนนะครับ
ก็คงไม่ได้เอ่อเดือนนี้ก็เป็นเดือนหน้านะครับ,คุณ ไม่ ได้ เอ่อ เดือน นี้ ก็ เป็น เดือน หน้า นะ ครับ ก็
ก็เอ่อนี่เป็นข้อมูลที่จะให้นักลงทุนว่าANIเราก็มีแผนจะเดินหน้าแน่ๆ,ก็ อ่า นี่ เป็น ข้อมูล ที่ จะ ให้ นักลงทุน ว่า เอ ไน รอ ปี แปด จะ เดิน หน้า แน่ แน่ แล้ว
แล้วตัวผลประกอบการอย่างที่บอกคืออยากที่เห็นแล้วว่าเก้าเดือน,ผม ก็ ตบการณ์ อย่าง ที่ บอก พี่ นะ นี่ แหละ วะ เก้า เดือน
กําไรถึง 651,สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบเอ็ด สิบ
ล้าน,มัน
แล้วก็ปีนี้ทั้งปีคิดว่าน่าจะทํากําไรถึงตามเป้าที่เราตั้งไว้แน่,ก็ ปี นี้ ทั้ง ปี นี้ ว่า น่าจะ ขนลม ไหล่ ถึง ตาม เป้า ที่ เรา ตั้ง ไว้ ใน นี่
ๆ นะครับ,ไม่ใช่ความผิด
ถัดมาก็ธุรกิจที่ได้อานิสงส์อีกนะครับ,มา ข้อ ธุดิบ ที่ ได้ อนุสูร อีก กัน นะ ครับ ก็
ก็เป็นส่วนที่เป็นของAotgaนะครับ,เป็น ส่วน ที่ เป็น ของ ทอง ออ สก้า นะ ครับ ก็
ตัวเลข 9 เดือนก็เห็นนะครับ,เลขเก้าเดือนก็เห็นนะครับคงก็
เขาก็เติบโตเป็นอย่างมาก,ประโภคเป็นอย่างมาก
และไตรมาสที่สี่นะครับ,มา ที่ สี่ นะ ครับ พ่อ
เท่าที่ไปเช็คข้อมูลมาคร่าวๆ,ที่ ไป ช่วย ข้าวบน มา คร่าว ๆ นะ
นะครับ,ขอบคุณครับ
อันนี้ก็คอนเฟิร์มเฉพาะภูเก็ตสายการบิน,คอนเฟิร์มเฉพาะกูเกลียดสายการบิน
ปกติที่เราเคยให้บริการเนี่ยมันเกือบๆ,ปกติ ที่ เรา เคย ให้บริการ เนี่ย มัน กับ เกลื่อน กว่า
เอ่อ เรียกว่า,หรือว่า
เดือนละประมาณเกือบๆ,แล้วประมาณหยุดหยุดร้อยสิบ
ร้อยไฟลท์นี่ขึ้นมาเป็นเรียกว่า,ไฟ นี่ ขึ้น มา เป็น หรือ ว่า
โทษทีวันละนะครับ,วัน ละ นะ ครับ ถึง ยัง
เกือบๆ,วงศ์
ร้อยไฟลท์นี่กลายเป็นวันละร้อยไฟลท์ก็เรียกว่า,และ นี่ กลายเป็น วัน ละ ร้อย ฝ่าย ก็ เรียก ว่า
สิ่งที่Aotga,ที่ อ่า อดกาเหลือหน่วย
แล้วรวมทั้งคลังสินค้า,น้อง คล่อง สิบ หมื่น สาม
สินค้าที่ไปที่คลังภูเก็ตตอนนี้ก็เรียกว่าแทบจะเต็มเลย,สัญชาติ ปี ที่ คลัง กรุงเกียรติตอนนี้ก็เรียกว่าแทบจะเต็มเลย
ทั้งที่ภูเก็ตไม่ได้เป็น,กูเก็บเมื่อมี
commercial เอ่อ,โอ้โห
เอ่อ,อืม
airport เสียด้วยซ้ํานะครับ,สวัสดีที่สามนะครับ
ก็จากภาพรวมเหล่านี้นะครับ,จาก ภาพบูม เหล่านี้ นะครับ ก็จะ
ก็จะได้เหมือนแจ้งว่าเป็น update,เมื่อเทียบกับเมือง ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธิ ที่ มี สิทธ
investment ที่เราดี,เวสต์ เป็น พี่ โต ดี นะ
ก็น่าจะดีต่อเนื่องนะครับ แล้วก็,นั่นก็จะดีต่อเนื่องนะครับ รอข้อ
สุดท้ายนะครับ ก็กว่าจะได้มีเวลา,สุดท้าย จะ ขับ ก็ เปิด แล้ว มี เวลา
Q&A นะครับ,อื่น นะครับ
ก็อันนี้เป็นสรุปที่ว่า,วันนี้ เป็น สรุป ที่ว่า สิ่ง ที่
สิ่งที่เราไปลงทุนมานะครับ,ที่ เรา ไป ลงทุน มา นะ ครับ ทั้ง
ทั้งในต่าง,ใน ต่อประเทศ
ประเทศนะครับที่เกี่ยวกับอินเตอร์เนชั่นแนลแล้วต้องลงทุนในประเทศจะเห็นว่าเรามีเรียกว่ามูลค่าที่เราไปลงทุนที่เราเป็นinvestment costของเราทําบัญชี2400ล้านเนี่ยปัจจุบันเป็น3000ล้านคืออะไรครับก็เรามีกําไรจากการลงทุนถึงภาพรวมถึง637ล้านนั่นคือรายละเอียดแต่ละตัวนักลงทุนจะเห็นในตารางอะนะครับแล้วก็,นะครับ ที่เกี่ยว แล้วต้องรู้ตัวแนวประเทศจะเห็นว่า เรามีได้ว่า มูลค่าที่เราไปลงทุนที่เราเป็น investment ข้อทางเราทำบัญชีสูงมากสี่ร้อยล้านเนี่ย ปัจจุบันเป็นสามพันล้านนี่เลยครับ ข้อเรามีกำไรจากการลงทุนถึงภาพรวมถึงงงร้อยสามสิบเจ็ดล้านนี่คือ รายละเอียดแต่ละตัวจะนับถูกมุมเห็นในตารางนะครับ แล้วก็
เฉพาะDividendที่เราได้รับมาไม่ต้องลงทุนไม่ใช่มีตัวเลขกําไรอย่างเดียวเนี่ย,เพราะ บีวิเจนที่เราได้รับบาปมาจากโรงทุนไม่ใช่มีตัวเลขมาอย่างเดียว เนี่ย ใช่ไหม
จะว่าANIเนี่ยปัจจุบันเนี่ยมีเงินปันผลมาที่ที่ไปถึง625ล้านนะครับ,เอ ไอ เนี่ย ปัจจุบัน เนี่ย มี เงิน ผล มา ที่ ที่ ไป ถึง หก ร้อย ยี่ สิบห้า ล้าน นะ ครับ ด้วย
ตัวDGPS,จิบหรือ
ดีจีพีสิงคโปร์เนี่ยก็125ล้านนะครับ,สิงคโปร์ เนี่ย ก็ 125 บาท นะครับ
ทั้งหมดนี้ก็เป็นภาพสรุปผลประกอบการรวมทั้งทรรศนะนะครับแล้วก็,ทั้งหมด นี้ ก็ เป็น ภาพสรุป ผลประกอบการ รวมทั้ง สถานะ นะครับ ละ ข้อ
จะได้มีเวลาประมาณสัก,ได้ มี เวลา ประมาณ สัก
6 นาทีนะครับ ต้องขออภัยนะครับ,นาที นะครับ ต้องขออภัยนะครับ
ถ้าผม,ผมอ่า
เข้าสู่การตอบคําถาม Q&A นะครับ,สู่การตอบขาด Q&A นะครับ
มีคําถามจากทางนักลงทุนถามว่า,น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง อา หว่าน น้อง น้อง อา หว่าน น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง น้อง
ภาพรวมของอุตสาหกรรมในไตรมาสสี่,รวม ของ วูชากรรม ใด แต่ มาตร สี่ แล้วก็ ทุ่ง จิตร ใด
แล้วก็ธุรกิจไตรมาส สี่,ม้าซิง
ทิศทางเป็นอย่างไร จะดีกว่าไหมใน QonQ,ทำไปอย่างไรจะดีกว่าไหมไม่คิวลงคิวแล้ว
แล้วก็ year on year,ก็ยังอยู่แล้ว
มาจากปัจจัยอะไรบ้าง ซึ่งบางส่วนเราได้อธิบายไปแล้วในภาพของ outlook อยากให้คุณรัช,จาก ปัจจัย อะไร บางสื่อบางส่วน เนี่ย เราได้ อาจจะได้ไปแล้ว เนี่ย พอผมเอามุกเลี่ยงให้คุณรัฐ
มองมุมของธุรกิจบ้างครับว่าจะมีอะไรที่มันโตต่อใน Q4,มองมุมของทูตจิตมากว่าจะมีอะไรที่มันโตต่อแบบในคิวซี
ครับ,ก็
ก็เมื่อสักครู่ได้แจ้งให้เห็นแล้วนะครับว่า,เอ่อ เมื่อสักครู่นี้ ได้ยินให้แจ้งเห็นแล้วนะครับว่า
อย่างที่บอกว่า ถ้าเป็นการขนส่งนะครับ ของประเทศไทยเอง,ที่ บอก ว่า ถ้า ถ้า เป็น การขนส่ง นะ ครับ ของ ประเทศ ไทย เอง
มันโตขึ้น,อ่า โปรขึ้น
งั้นเราก็ธุรกิจที่ทําไม่ใช่แค่ทริพเพิลไอ แต่ใครที่ทําตัวนี้ก็คงได้อานิสงส์,เพราะฉะนั้นเราก็โทษผิดที่ทำไม่ใช่คิดว่าใครทำตรงตัวนี้คงได้อย่างนิสงส์
และคราวเดียวกันเนี่ย,และค่าเดียวกันเนี่ย
เรามองไม่เฉพาะเฉพาะไทยมันภายในภูมิภาค เขาบอกว่ากลุ่มธุรกิจของทางด้านทริพเพิลไอ เราไม่ทําที่เมืองไทยใหญ่ การขยายตัวเรามีแบบออริจินัล,ไม่ ใช่ เพราะ แต่ เพราะ ใคร มัน ผลิต ผู้พิพากษ์ ก็ บอ กว่า กลุ่ม ธุรกิจ ของ ทาง ด้าน ที่ ปลาย นั้น แล้ว ไม่ ทำ ที่ เมือง ไทย หรือว่า การ ขยาย ตัว ละ มีด แบบ ลิ ช ชี โน่
ที่โตมาในภูมิภาคนะครับก็เลยเรียกว่าภายใต้เรียกว่าโลจิสติกส์แอนด์บียอนด์นะครับก็มีธีมนึงที่ว่าเราไปโตแบบออริจินัลคือตัวaniออริจินอลANIเองเนี่ยไม่ได้เป็นอยู่ที่เมืองไทยนะครับANIเนี่ยมีของไทยอยู่แค่สิบห้าเปอร์เซ็นต์ที่เหลืออีกแปดสิบห้าเปอร์เซ็นต์อยู่ในเวียดนามอยู่ในจีนเอเชียตอนใต้สิงคโปร์มาเลเซีย,โตมาในภูมิภาคนะครับก็เน้นเลยว่าภายใต้เรียกว่า นะครับก็มี หนึ่งที่ว่าเราไปโตมา บริจิทัลก็ตัว เอน เนี้ย ไม่ได้เป็นอยู่ที่เมืองไทยนะครับ เอน เนี้ย มีของไทยอยู่แค่สิบห้าเปอร์เซ็นต์ที่เหลือเองแปดสิบห้าเปอร์เซ็นต์อยู่ในเวียดนามอยู่ในจีน เอเชียตอนใต้ สิงคโปร์ มาเลน
กัมพูชาพม่านะครับ เอาง่ายๆผมเพิ่งประชุมล่าสุด ก็มีข้อมูลว่ากัมพูชาที่ซบเซาตอนนี้เนี่ย,สิบสอง สาม สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สี่ สิบ สิบ สี่ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ สิบ
กัมพูชาเนี่ยมียอดเรียกว่าตัวแทนสายการบิน แล้วส่งคาร์โก้โตขึ้นเป็นอย่างมากในช่วง,กรุณา สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครั
เดือน 10 ที่ผ่านมา เพราะฉะนั้นถึงบอกว่า,ที่ผ่านมา เมื่อ จึง บอก ว่า
ตอนนี้เรามองว่าด้วยอานิสงส์ตรงนี้ปุ๊บ,ตอนนี้เรามองว่า เอ่อ ด้วยอันนี้ส่งตรงนี้ โบ๊ท
การที่เรามีทั้งเป็นภูมิภาค,ที่เรามีทั้งเป็นกลุ่มวิพากษ์เนี่ย
ส่วนที่เราจะได้ขึ้นมาตรงภูมิภาค,ที่เราจะได้พิมพ์มาตรวจตัวพื้นภาพมาดู
มันก็เติบโตนะครับ เพราะฉะนั้นเราจะได้ไอส่วน,ก็เติบโต นะครับ เมื่อเราได้ได้ไอโอจากตัว
จากตรงตัวนั้นพอสมควรนะครับ,ตัวนั้นพอสมควร นะครับ โอ้ย
พูดง่าย ๆ,สุดท้าย
ว่า ถ้าสรุปสั้น ๆ,ก็ถูกบุญส่วนชดนั่นเอง
ก็น่าจะเป็นสัญญาณบวกครับ,จะเป็นสัญญาณบวก คับเชื่อม
สําหรับธุรกิจ,ตรง ที่ สาม
สำหรับ sector นี้,สุด เปอร์เมนต์
ต่อมาเป็นแนวโน้มค่าระวาง,มาเป็นแนวโน้มค่าต่อวัน
ผมให้ข้อมูลนะครับ,ให้ข้อมูลนะครับ เออ
แนวโน้มคาดระวังในไตรมาสสี่อย่างทั้มราบกัน,พระราวาหลังใน ไตรมาสี อย่าง ที่ ทราบ
ที่รัชพูดไปแล้วว่า,เราพูดไปแล้วว่า
ในไตรมาสสี่เป็น,แต่บ้านสี่เป็นไข่
high season,สร้าง ฟอร์ม
ของธุรกิจขนส่งสินค้านะครับ,จิตคือพวกวิชานะครับ
ทําให้มุมมองว่าในส่วนของ QonQ,ทำให้ผมมองว่าในมุมสุดของชิวอันคิวน่ะ
คิดว่าค่าระวางน่าจะคงเติบโต,และ ระหว่าง อ้าง ฮุ่ม เติบโต
มากกว่าในไตรมาส,ใน ไตรมาส 3 ราย
สามอย่างแน่นอนนะครับ,อย่างแน่นอนนะครับ
ซึ่งในรูทโดยทั่วไป,ซึ่งไม่รู้เลยทั่วไปโดยเฉพาะ
โดยเฉพาะรูทที่เป็นอเมริกาและจีน,เพราะ รู น ที่ เป็น อเมริกา และ จีน ที่
ที่ได้รับผลกระทบจากการที่ชะลอการเก็บภาษีเนี่ย,ถ้าผมพบจากการที่ชะลอปัญเก็บภาษีเนี่ย
อาจจะทําให้เป็น,สามารถทำให้เป็น
มันมีการแย่งสเปซมากขึ้น,มี การ เลี้ยง สเปรต มากขึ้น สำนัก
สัญญาณที่ส่งออก,สุของพวก
คงจะเพิ่มมากขึ้นจากการแย่งสเปซตรงนั้น,มันจะเพิ่มมากขึ้นแต่การแย่งแย่งสตรีทตรงนั้น
ก็จะทำให้ค่าระวางในไตรมาสสี่,จะ ไม่ ค่า ระวัง อะไร แต่ มาก สิ หรือ พ่อ
โดยเฉพาะ route,อ๋อ
america กับจีน,อเมริกา ประจีน
เพิ่มสูงขึ้นครับ,สุขขึ้นครับ
ในปี 66,อันนี้หกสิบหกเลยอ่ะ
บริษัทยังคงตั้งเป้าหมายของรายได้วันที่,บริษัทยังคงตั้งเป้าหมายของรายได้ว่าที่
15 ถึง 27,ถึง ยี่สิบเจ็ด ประมาณ
หรือไม่,อัน
จริงๆ,ก็คือ มันก็จะมีความสำเร็จ
ในส่วนนี้เราไม่เคยตั้งเป็นรายได้หรอกครับคุณรัช,ในช่วงนี้เราไม่เคยตั้งเป็นรายได้อับทุน
ครับ โอเคก็อย่าง,โอเค ก็ อย่าง
เราเรียกว่าเราจะโตกี่เปอร์เซ็นต์,หรือว่าเป็นเราจะโปร่งกี่เปอร์เซ็นต์ เพราะอย่าง
เพราะอย่างที่บอกว่า,นี่ บอกว่า
ถ้าไปดูของทาง ทริพเพิลไอ,มาดู หู อีก ที่ ปลาย เจ็ด ว่าว หู
ว่าของเราเนี่ย,ของเราเนี่ย
เกิดจากภาพรวมขึ้นมา,แต่ ถ้า โบ นุ ม มา ถ้า ไม่ โบ
ถ้าไปมองว่าจะโตล่ะ,มัน มอง ว่า จะ โกรธ ล่ะ ปี ที่
ปีนี้รายได้เราก็ไม่โต,ที่ ต่อหน้า เรา คบ ไม่ โกรธ
เราร่วงซะด้วยซ้ํา,สุดท้ายสาม ดีเลย
ด้วยหลายๆปัจจัย,เจ๊ แนะ ปัจจัย แต่
แต่ผลประกอบการโดยรวม เราโตครับ,ผม พบ ครับ พรรค บริโภค หลุม โลก โต ขับ ปี
ปีนี้เราโต 25%,ดี แล้ว ตัวนี้ มาก เลย
นะครับ เมื่อถึงตอนแต่ละปีเนี่ย,กราฟเมื่อถึงปกติ ต่อ ปี เนี่ย
แต่ว่าเวลาเราแจ้งตลาด,ว่าเวลาเราแจ้งตลอด
ไม่สามารถจะบอกได้,สามารถจะบวกได้จากลำดับ
แต่เรามองว่าผลประกอบการของเรา,ผม ต้อง ขอบคุณ ครั้ง นี้ เรา จบ
จะโตปี ตอนต้นๆปีเนี่ย,ตุ๋ปี ตุ๋ตุ้นปีเนี่ย
จริงๆเราประกาศว่ามา 15-20,เมื่อประกาศว่าประมาณสิบห้าสิบหนึ่งเปอร์เซ็นต์
เปอร์เซ็นต์,สิ่งโมโห
เพราะว่าด้วยสภาพเราไม่,เพราะว่าด้วยกับภาพเราไม่ได้
แต่พอออกมาจริง,พอผมมากินเนี่ย
เราโตมากกว่าที่เราคาดเอาไว้,โปร่งมากกว่าที่เรา เอาไว้
ก็ถึง 25%,หนึ่ง ยี่สิบ เก้า เปอร์เซ็นต์
นะครับ,และ
แล้วก็สําหรับปีหน้านะครับ,สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัสดีครับ สวัส
เรายังไม่ได้มีแผนธุรกิจนะครับ,ไม่ ได้ มี นาน ธุรกิจ นะ ครับ แต่ หลัง
แต่หลายปัจจัยก็มีทั้งตัวANI,แต่ปัจจัยก็มีทั้งตัวเอง
ที่จะเข้าตลาด,เข้าตัวหลับแล้ว
แล้วก็ต้องโตต่อเนื่องนะครับ,ก็ พูด ตัว ต่อ เนี่ย นะ ครับ ถ้า
ภาพของAotgaที่จะดี,ครับผม อดใจที่จะดี
แล้วกลุ่มธุรกิจที่เป็นโลจิสติกส์ของเราก็คิดว่า,ที่เป็น เอ่อ เรา ถ้าคิดว่าเรา
เรามีมองตัวเลขที่ว่าประมาณ 20%,มี บอง ตัว แรก ที่ ว่า ประมาณ ยี่สิบ เปอร์เซ็นต์
เป็นพื้นฐานที่ขั้นต่ําอยู่แล้วนะครับ,เป็น เป็น พื้น ทหาร ที่ ขั้น ต่ำ อยู่ แล้ว นะ ครับ เดี๋ยว ว่า
แต่ว่าจะถามตัวเลขที่ชัดเจน,ก็จะกลับตัวเลขยิ่งชัดเจน
ขอเวลานิดนึงนะครับ,ผม ไหล นิดหนึ่ง นะครับ เพราะว่า
เพราะว่าเราต้องไปดูหลาย ๆ,ต้องไปดูหลาย ๆ ตึก
ปัจจัยนะครับ,ใจ มัน ขับ บน คอ
แล้วก็มันมีหลาย ๆ,มันมีอะไรในเรื่องที่
เรื่องที่ต้องไปดูรวมทั้ง,ที่ต้องเปิด
มีหลายๆโครงการด้วยนะครับ,และ คุ้ม ทาน ด้วย นะ ครับ แต่
แต่คิดว่าเราก็ยังผลักดันนะครับ,แต่คิดว่าเราก็ยังพังดันนะครับ
เพราะส่วนหนึ่งทริพเพิลไอก็คือ,ส่วนหนึ่งที่แปลคือ
อย่างที่บอกว่าเราเติบโตพยายามที่จะเติบโตอย่างมั่นคง,ที่บอกว่าเราเติบโตเพียงได้เติบโตอย่างมั่นคง
และเติบโตอย่างต่อเนื่อง,เติบโตอย่างต่อเนื่อง
นี่ก็เป็นสิ่งที่จะแจ้งให้ทราบนะครับ,นี่ก็เป็นสิ่งที่ เอ่อ จะ เอ่อ จะไม่ทราบนะครับ
ต่อมาอยากจะทราบเกี่ยวกับความคืบหน้าของaotga,ต่อมา อยากจะทราบครับเกี่ยวกับความคืบหน้าของกรรไกรที่จะ
ที่จะเข้าไปประมูลรายที่,เข้าไปประมูลรายละเอียดชาติ
3 ในสนามบินสุวรรณภูมิครับ,ในสถานีสุวรรณภูมิครับ
ความคืบหน้าเป็นยังไงบ้างครับ,ข้อคู่หน้าเป็นยังไงบ้างครับ
ก็ข้อมูลเอ่อเราได้แจ้งเท่าที่สามารถจะชี้แจงได้นะครับ,ก็ ข้อมูล ตลาด เรา ได้ แจ้ง เท่า ที่ สามารถ จะ คิด อย่าง ง่าย นะ ครับ ก็
ก็จะมีความคืบหน้าไปได้ดีนะครับเพียงแต่ว่ากระบวนการตอนเนี้ยนะครับก็ที่ทราบมาเนื่องจากว่าเขาต้องไปจัดให้คล้ายคล้ายว่าเหมือนมี,ก็ จะ มี ความ คึบหน้า ไม่ ได้ ดี นะ ครับ เพียง แต่ ว่า ขบวนการ ตอน นี้ นะ ครับ ก็ ที่ ทราบ มา เนื่องจาก ว่า เขา ต้อง ไป จัด ให้ ไม่ ใช่ ว่า เหมือน มี พระ
public hearing,คุยกับพี่ ริม
นะครับเพื่อไปรับฟังเสียงสะท้อนอะไรต่างต่างนะครับเพราะว่า,เพื่อ ไป รับ ฟัง เสียง สะท้อน อะไร งี้ ต่าง นะ ครับ เพราะ ว่า
มติออกมาแล้วจะให้มีการประมูลรายที่,ออกมาแล้ว ถ้าให้มีการประมูลหลักที่สาม
3 นะครับ,บัด ของ มัน
งั้นก็จะมีการยื่นซองให้มีการประมูลนะครับ,ก็จะมีการยื่นส่องให้มีการประมูลนะครับละคร
แล้วก็,โอ้
Aotga ก็เป็นหนึ่งในแคนดิเดต,นักการ์ดก็เป็นหนึ่งในคันนิเบตที่
ที่จะเข้าไปยื่นประมูลแน่นอน,จะเข้าไปยื่นประมูลแน่นอน
เพราะเรามีศักยภาพ,เรามีศักยภาพ
เราได้ดําเนินการ,เอ้ย ทำไม งั้นก็
ได้ทํามาแล้วทั้งสองสนามบิน,ทำมาแล้วทั้งส่งสนามบินที่พัก
ที่มีภายใต้ของ aot,ภายใต้ของเอโอทีน
นะครับ,คำ มั่น สุด เลย
งั้นสุวรรณภูมิเราก็เป็นปีนี้ได้รับเชิญเข้าไปช่วย,เมื่อ ต้น ปี ที่ เรียก รับ เชิญ เข้า ไป ช่วย เพราะ นี่
เพราะเนื่องจากว่าผู้ประกอบการเดิมที่มีอยู่,จาก ว่า ผู้ปกครอง การเติบ ที่ มี อยู่ เนี่ย
ไฟลทที่เพิ่มขึ้นอย่างรวดเร็ว ไม่มี,ที่เพิ่มขึ้นอย่างรวดเร็วไม่มี
ไม่มีศักยภาพที่จะไปขยายตรงนี้ได้นะครับ,สัญลักษณ์ที่จะไปขยายตรงนี้ได้นะครับ
ทางaotgaได้รับ trade,การ ได้รับ เกียรติ เข้าไป
เข้าไปช่วย,ช่วย เป็น
มันเหมือนเข้าไป rescue,เหมือน ครอบ ไป เร ส พ ลิ ว งั้น
งั้นเรามีความพร้อมนั้นถ้า,มีความโพ้ง งั้นถ้า
การที่เป็นบริษัทและเราก็มั่นใจว่า,ที่เป็นไร้สักแล้วเราก็มั่นใจว่า
เราเป็นผู้ประกอบการที่มีศักยภาพ,เป็นผู้ประกอบการที่มีศักยภาพเธอได้
แต่แน่นอนต้องผ่านกระบวนการประมวลนะครับ,และน้องก็ผ่านกระบวนการประมูลนะครับ
คาดว่าภายในไม่น่าจะครึ่งปีหน้า,ว่า เอ่อ ภายในไม่น่าจะครึ่งปีน่ะก็น่าจะ
ก็น่าจะจบเรียบร้อยนะครับ,น่าจะจบที่ไม่ได้เรียบร้อยนะครับ
